Name,OS,RAM,Storage,Rating,Price,NormalizedSpecs
ASUS Vivobook 16X,2025,,,4.3,68990,"intel core i5 processor (13th gen)16 gb ddr4 ramwindows 11 home operating system512 gb ssd40.64 cm (16 inch) displaymicrosoft office home 2024 (lifetime validity ) + microsoft 365 basic (1-year validity),�mcafee -1 year, one-month membership of adobe creative cloud all apps1 year onsite warranty"
Apple MacBook Air Apple M3 -,macOS Sonoma,8 GB,256 GB SSD,4.7,97990,"apple m3 processor8 gb unified memory rammac os operating system256 gb ssd33.02 cm (13 inch) displaybuilt-in apps: app store, books, calendar, contacts, facetime, find my, freeform, garageband, home, imovie, keynote, mail, maps, messages, music, notes, numbers, pages, photo booth, photos, podcasts, preview, quicktime player, reminders, safari, shortcuts, siri, stocks, time machine, tv, voice memos1 year onsite warranty"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U -,Windows 11 Home,16 GB,512 GB SSD,4.4,39990,amd ryzen 5 hexa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 year onsite warranty
HP Chromebook Intel Celeron Dual Core N4120 -,Chrome OS,4 GB,64 GB EMMC Storage,3.9,16990,intel celeron dual core processor4 gb lpddr4 ram64 bit chrome operating system35.56 cm (14 inch) touchscreen display1 year onsite warranty
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,29990,amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home 2024 + microsoft 365 basic1 year onsite warranty
Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U -,Windows 11 Home,16 GB,512 GB SSD,4.2,39990,amd ryzen 7 octa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 yr. onsite + 1 yr. accidental damage protection
DELL 15 Intel Core i3 12th Gen 1215U -,Windows 11 Home,8 GB,512 GB SSD,4.3,31990,"intel core i3 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H -,Windows 11 Home,16 GB,512 GB SSD,4.3,69990,intel core ultra 5 processor16 gb lpddr5x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) touchscreen display1 year carry-in warranty
Apple MacBook Air Apple M3 -,macOS Sonoma,8 GB,512 GB SSD,4.7,116990,"apple m3 processor8 gb unified memory rammac os operating system512 gb ssd33.02 cm (13 inch) displaybuilt-in apps: app store, books, calendar, contacts, facetime, find my, freeform, garageband, home, imovie, keynote, mail, maps, messages, music, notes, numbers, pages, photo booth, photos, podcasts, preview, quicktime player, reminders, safari, shortcuts, siri, stocks, time machine, tv, voice memos1 year onsite warranty"
Apple MacBook Air Apple M3 -,macOS Sonoma,8 GB,512 GB SSD,4.7,134990,"apple m3 processor8 gb unified memory rammac os operating system512 gb ssd38.1 cm (15 inch) displaybuilt-in apps: app store, books, calendar, contacts, facetime, find my, freeform, garageband, home, imovie, keynote, mail, maps, messages, music, notes, numbers, pages, photo booth, photos, podcasts, preview, quicktime player, reminders, safari, shortcuts, siri, stocks, time machine, tv, voice memos1 year onsite warranty"
Apple MacBook Air Apple M3 -,macOS Sonoma,8 GB,256 GB SSD,4.7,125990,"apple m3 processor8 gb unified memory rammac os operating system256 gb ssd38.1 cm (15 inch) displaybuilt-in apps: app store, books, calendar, contacts, facetime, find my, freeform, garageband, home, imovie, keynote, mail, maps, messages, music, notes, numbers, pages, photo booth, photos, podcasts, preview, quicktime player, reminders, safari, shortcuts, siri, stocks, time machine, tv, voice memos1 year onsite warranty"
HP 15,2024,,,4.2,28990,amd ryzen 3 quad core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP Intel Core i5 12th Gen 1235U -,Windows 11 Home,16 GB,512 GB SSD,4.3,46990,intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
DELL Inspiron MSO 2024 Intel Core i5 13th Gen 1334U -,Windows 11 Home,16 GB,512 GB SSD,4.3,56990,intel core i5 processor (13th gen)16 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaywin 11 + office h&s 20241 year onsite hardware service
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U -,Windows 11 Home,8 GB,512 GB SSD,4.4,36990,amd ryzen 5 hexa core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 year onsite warranty
HP Backlit Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,4.3,44990,intel core i5 processor (12th gen)8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U -,Windows 11 Home,8 GB,512 GB SSD,4.0,32990,amd ryzen 5 quad core processor8 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home & student 20211 year carry-in warranty
MSI Modern 14 H Intel Core i9 13th Gen 13900H -,Windows 11 Home,16 GB,1 TB SSD,4.2,69990,intel core i9 processor (13th gen)16 gb ddr4 ramwindows 11 operating system1 tb ssd35.56 cm (14 inch) display1 year onsite warranty
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 -,Chrome OS,4 GB,32 GB EMMC Storage,3.8,9999,mediatek kompanio 520 processor4 gb lpddr4x ramchrome operating system29.46 cm (11.6 inch) display1 year carry-in warranty
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U -,Windows 11 Home,16 GB,512 GB SSD,4.0,36990,amd ryzen 7 octa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
Apple MacBook AIR Apple M2 -,macOS Sequoia,16 GB,256 GB SSD,4.7,71990,"apple m2 processor16 gb unified memory rammac os operating system256 gb ssd34.54 cm (13.6 inch) displaybuilt-in apps: app store, books, calendar, contacts, facetime, find my, freeform, garageband, home, imovie, keynote, mail, maps, messages, music, notes, numbers, pages, photo booth, photos, podcasts, preview, quicktime player, reminders, safari, shortcuts, siri, stocks, time machine, tv, voice memos, weather1 year limited warranty"
HP AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.3,33999,amd ryzen 3 quad core processor8 gb lpddr5 ram64 bit windows 11 operating system512 gb ssd35.56 cm (14 inch) displaymicrosoft office home & student 20211 year onsite warranty
HP Chromebook Intel Celeron Dual Core N4120 -,Chrome OS,4 GB,64 GB EMMC Storage,3.9,16990,intel celeron dual core processor4 gb lpddr4 ram64 bit chrome operating system35.56 cm (14 inch) touchscreen display1 year onsite warranty
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,29990,amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home 2024 + microsoft 365 basic1 year onsite warranty
DELL Inspiron 3530 Intel Core i5 13th Gen 1334U -,Windows 11 Home,8 GB,512 GB SSD,,53990,intel core i5 processor (13th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
DELL 15 Intel Core i3 12th Gen 1215U -,Windows 11 Home,8 GB,512 GB SSD,4.3,31990,"intel core i3 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H -,Windows 11 Home,16 GB,512 GB SSD,4.3,69990,intel core ultra 5 processor16 gb lpddr5x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) touchscreen display1 year carry-in warranty
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 7 155H -,Windows 11 Home,16 GB,1 TB SSD,4.2,79990,intel core ultra 7 processor16 gb lpddr5x ramwindows 11 operating system1 tb ssd35.56 cm (14 inch) touchscreen display1 year carry-in warranty
Apple Apple M3 -,macOS Sequoia,16 GB,256 GB SSD,4.0,125990,"apple m3 processor16 gb unified memory rammac os operating system256 gb ssd38.86 cm (15.3 inch) displaybuilt-in apps: app store, books, calendar, contacts, facetime, find my, freeform, garageband, home, imovie, keynote, mail, maps, messages, music, notes, numbers, pages, photo booth, photos, podcasts, preview, quicktime player, reminders, safari, shortcuts, siri, stocks, time machine, tv, voice memos, weather1 year limited warranty"
HP 15,2024,,,4.2,28990,amd ryzen 3 quad core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP Intel Core i5 12th Gen 1235U -,Windows 11 Home,16 GB,512 GB SSD,4.3,46990,intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Infinix Y4 Max Series Intel Core i3 13th Gen 1315U -,Windows 11 Home,16 GB,512 GB SSD,4.3,32990,intel core i3 processor (13th gen)16 gb lpddr4x ramwindows 11 operating system512 gb ssd40.64 cm (16 inch) displayna1 year onsite warranty
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U -,Windows 11 Home,8 GB,512 GB SSD,4.2,34990,amd ryzen 5 quad core processor8 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home & student 20211 yr. onsite + 1 yr. accidental damage protection
HP Backlit Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,4.3,44990,intel core i5 processor (12th gen)8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo V15 AMD Ryzen 7 Octa Core 7730U -,Windows 11 Home,16 GB,512 GB SSD,4.1,43990,amd ryzen 7 octa core processor16 gb ddr4 ram64 bit windows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaywindows 111 year
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 -,Windows 11 Home,8 GB,512 GB SSD,3.9,24620,intel celeron dual core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 yr. onsite + 1 yr. accidental damage protection
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 -,Chrome OS,4 GB,32 GB EMMC Storage,3.8,9999,mediatek kompanio 520 processor4 gb lpddr4x ramchrome operating system29.46 cm (11.6 inch) display1 year carry-in warranty
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U -,Windows 11 Home,16 GB,512 GB SSD,4.0,36990,amd ryzen 7 octa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
ASUS Vivobook Go 14,2025,,,4.2,40990,"amd ryzen 5 quad core processor16 gb lpddr5 ramwindows 11 home operating system512 gb ssd35.56 cm (14 inch) displaymicrosoft office home 2024 (lifetime validity ) + microsoft 365 basic*(1-year validity), mcafee 1 year1 year onsite warranty"
HP MSO 2024 Intel Core i5 13th Gen 1334U -,Windows 11 Home,16 GB,512 GB SSD,4.1,65250,intel core i5 processor (13th gen)16 gb ddr4 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office h&s edition 20241 year carry-in warranty
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U -,Windows 11 Home,8 GB,512 GB SSD,4.2,26990,amd ryzen 3 quad core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7430U -,Windows 11 Home,16 GB,512 GB SSD,4.3,44990,amd ryzen 5 hexa core processor16 gb lpddr4x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 year carry-in warranty
HP Chromebook Intel Celeron Dual Core N4120 -,Chrome OS,4 GB,64 GB EMMC Storage,3.9,16990,intel celeron dual core processor4 gb lpddr4 ram64 bit chrome operating system35.56 cm (14 inch) touchscreen display1 year onsite warranty
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,29990,amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home 2024 + microsoft 365 basic1 year onsite warranty
Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U -,Windows 11 Home,8 GB,512 GB SSD,4.2,32990,intel core i3 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 yr. onsite
HP AMD Ryzen 5 Quad Core 7520U -,Windows 11 Home,16 GB,512 GB SSD,3.9,51900,amd ryzen 5 quad core processor16 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
DELL 15 Intel Core i3 12th Gen 1215U -,Windows 11 Home,8 GB,512 GB SSD,4.3,31990,"intel core i3 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H -,Windows 11 Home,16 GB,512 GB SSD,4.3,69990,intel core ultra 5 processor16 gb lpddr5x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) touchscreen display1 year carry-in warranty
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U -,Windows 11 Home,8 GB,512 GB SSD,4.2,35490,amd ryzen 5 hexa core processor8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) displayoffice home and student 20211 year onsite + 1 year accidental damage protection
Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020 -,Windows 11 Home,8 GB,256 GB SSD,4.1,24978,intel celeron dual core processor8 gb ddr4 ram64 bit windows 11 operating system256 gb ssd35.56 cm (14 inch) display1 yr. onsite + 1 yr. accidental damage protection
ASUS Vivobook 15 Intel Core 5 120U -,Windows 11 Home,16 GB,512 GB SSD,,49968,intel core 5 processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
DELL 15 Intel Core i5 13th Gen 1334U -,Windows 11 Home,8 GB,512 GB SSD,4.0,50990,"intel core i5 processor (13th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
HP 15,2024,,,4.2,28990,amd ryzen 3 quad core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP Intel Core i5 12th Gen 1235U -,Windows 11 Home,16 GB,512 GB SSD,4.3,46990,intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP Laptop Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,4.2,44990,intel core i5 processor (12th gen)8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U -,Windows 11 Home,16 GB,512 GB SSD,4.1,35990,amd ryzen 5 hexa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
HP Backlit Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,4.3,44990,intel core i5 processor (12th gen)8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1305U -,Windows 11 Home,8 GB,512 GB SSD,4.1,36500,intel core i3 processor (13th gen)8 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home & student 20211 yr. onsite + 1 yr. accidental damage protection
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H -,Windows 11 Home,16 GB,512 GB SSD,4.3,48890,intel core i5 processor (12th gen)16 gb lpddr5 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 year onsite warranty
Lenovo V15 AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,27190,amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Acer Aspire Lite Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,3.7,38890,intel core i5 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 -,Chrome OS,4 GB,32 GB EMMC Storage,3.8,9999,mediatek kompanio 520 processor4 gb lpddr4x ramchrome operating system29.46 cm (11.6 inch) display1 year carry-in warranty
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U -,Windows 11 Home,16 GB,512 GB SSD,4.0,36990,amd ryzen 7 octa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
HP Chromebook Intel Celeron Dual Core N4120 -,Chrome OS,4 GB,64 GB EMMC Storage,3.9,16990,intel celeron dual core processor4 gb lpddr4 ram64 bit chrome operating system35.56 cm (14 inch) touchscreen display1 year onsite warranty
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,29990,amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home 2024 + microsoft 365 basic1 year onsite warranty
HP AMD Ryzen 5 Hexa Core 5500U -,Windows 11 Home,8 GB,512 GB SSD,4.2,35889,amd ryzen 5 hexa core processor8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U -,Windows 11 Home,16 GB,512 GB SSD,4.2,40990,amd ryzen 5 quad core processor16 gb lpddr5 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home 2024 + microsoft 365 basic1 year carry-in warranty
MSI Modern 14 Intel Core i5 12th Gen 1235U -,Windows 11 Home,16 GB,512 GB SSD,4.3,41500,intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 year onsite warranty
DELL 15 Intel Core i3 12th Gen 1215U -,Windows 11 Home,8 GB,512 GB SSD,4.3,31990,"intel core i3 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H -,Windows 11 Home,16 GB,512 GB SSD,4.3,69990,intel core ultra 5 processor16 gb lpddr5x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) touchscreen display1 year carry-in warranty
Apple MacBook AIR Apple M2 -,macOS Sequoia,16 GB,256 GB SSD,4.7,71990,"apple m2 processor16 gb unified memory rammac os operating system256 gb ssd34.54 cm (13.6 inch) displaybuilt-in apps: app store, books, calendar, contacts, facetime, find my, freeform, garageband, home, imovie, keynote, mail, maps, messages, music, notes, numbers, pages, photo booth, photos, podcasts, preview, quicktime player, reminders, safari, shortcuts, siri, stocks, time machine, tv, voice memos, weather1 year limited warranty"
HP 15,2024,,,4.2,28990,amd ryzen 3 quad core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP Intel Core i5 12th Gen 1235U -,Windows 11 Home,16 GB,512 GB SSD,4.3,46990,intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H -,Windows 11 Home,8 GB,512 GB SSD,4.2,41990,intel core i5 processor (12th gen)8 gb lpddr5 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 yr. onsite
DELL 15 Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,4.1,42990,"intel core i5 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
Lenovo V15 Series AMD Ryzen 5 Quad Core 7520U -,Windows 11 Home,8 GB,512 GB SSD,3.9,34990,amd ryzen 5 quad core processor8 gb ddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H -,Windows 11 Home,16 GB,512 GB SSD,4.2,48990,intel core i5 processor (12th gen)16 gb lpddr5 ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 year onsite warranty.
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 -,Chrome OS,4 GB,32 GB EMMC Storage,3.8,9999,mediatek kompanio 520 processor4 gb lpddr4x ramchrome operating system29.46 cm (11.6 inch) display1 year carry-in warranty
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U -,Windows 11 Home,16 GB,512 GB SSD,4.0,36990,amd ryzen 7 octa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U -,Windows 11 Home,8 GB,512 GB SSD,4.1,32990,amd ryzen 5 hexa core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H -,Windows 11 Home,8 GB,512 GB SSD,4.3,46990,intel core i5 processor (12th gen)8 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 yr. onsite
HP Chromebook Intel Celeron Dual Core N4120 -,Chrome OS,4 GB,64 GB EMMC Storage,3.9,16990,intel celeron dual core processor4 gb lpddr4 ram64 bit chrome operating system35.56 cm (14 inch) touchscreen display1 year onsite warranty
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,29990,amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home 2024 + microsoft 365 basic1 year onsite warranty
DELL Intel Celeron Quad Core -,Windows 11 Pro,8 GB,256 GB SSD,,21490,intel celeron quad core processor8 gb ddr4 ramwindows 11 operating system256 gb ssd35.56 cm (14 inch) display1 year
Lenovo IdeaPad Slim 5 AI PC Intel Core Ultra 5 125H -,Windows 11 Home,16 GB,1 TB SSD,4.2,74990,intel core ultra 5 processor16 gb lpddr5x ramwindows 11 operating system1 tb ssd40.64 cm (16 inch) display1yr warranty + 1 yr premium care and 1 yr accidental damage protection
Lenovo MSO'2024 AMD Ryzen 5 Hexa Core 5625U -,Windows 11 Home,16 GB,512 GB SSD,4.2,37990,amd ryzen 5 hexa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
DELL 15 Intel Core i3 12th Gen 1215U -,Windows 11 Home,8 GB,512 GB SSD,4.3,31990,"intel core i3 processor (12th gen)8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymy dell (dell power manager,dell support assist)1 year onsite warranty"
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H -,Windows 11 Home,16 GB,512 GB SSD,4.3,69990,intel core ultra 5 processor16 gb lpddr5x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) touchscreen display1 year carry-in warranty
HP 14R,2025,,,4.5,33949,"intel core i3 processor (13th gen)16 gb ddr4 ram64 bit windows 11 home operating system512 gb ssd35.56 cm (14 inch) displaymicrosoft office 2021, windows 11 home1 year onsite warranty"
Acer Swift Go 14 AMD Ryzen 7 Octa Core 7730U -,Windows 11 Home,16 GB,512 GB SSD,4.3,49990,amd ryzen 7 octa core processor16 gb lpddr4x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 year carry-in warranty
HP 15,2024,,,4.2,28990,amd ryzen 3 quad core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP Intel Core i5 12th Gen 1235U -,Windows 11 Home,16 GB,512 GB SSD,4.3,46990,intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo Yoga Slim 7 WUXGA OLED AI PC Intel Core Ultra 7 155H -,Windows 11 Home,32 GB,1 TB SSD,4.3,98990,intel core ultra 7 processor32 gb lpddr5x ramwindows 11 operating system1 tb ssd35.56 cm (14 inch) display1yr warranty + 1 yr premium care and 1 yr accidental damage protection
Acer Aspire 3 Intel Celeron Dual Core N4500 -,Windows 11 Home,8 GB,512 GB SSD,3.9,21990,intel celeron dual core processor8 gb lpddr4x ramwindows 11 operating system512 gb ssd35.56 cm (14 inch) display1 year carry-in warranty
Lenovo IdeaPad Slim 3 Intel Core i5 13th Gen 13420H -,Windows 11 Home,16 GB,512 GB SSD,4.3,57390,intel core i5 processor (13th gen)16 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 yr. onsite + 1 yr. accidental damage protection
HP Backlit Intel Core i5 12th Gen 1235U -,Windows 11 Home,8 GB,512 GB SSD,4.3,44990,intel core i5 processor (12th gen)8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U -,Windows 11 Home,16 GB,512 GB SSD,4.0,47990,amd ryzen 7 octa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 yr. onsite + 1 yr. accidental damage protection
ASUS Vivobook 16,2025,,,,54990,"intel core i5 processor (13th gen)16 gb ddr4 ramwindows 11 home operating system512 gb ssd40.64 cm (16 inch) displaymicrosoft office home 2024 (lifetime validity ) + microsoft 365 basic*(1-year validity), mcafee 1 year1 year onsite warranty"
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 -,Chrome OS,4 GB,32 GB EMMC Storage,3.8,9999,mediatek kompanio 520 processor4 gb lpddr4x ramchrome operating system29.46 cm (11.6 inch) display1 year carry-in warranty
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U -,Windows 11 Home,16 GB,512 GB SSD,4.0,36990,amd ryzen 7 octa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U -,Windows 11 Home,8 GB,512 GB SSD,4.2,28990,amd ryzen 3 quad core processor8 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo IdeaPad Slim 3 AMD Ryzen 5 Quad Core 7520U -,Windows 11 Home,16 GB,512 GB SSD,4.0,42990,amd ryzen 5 quad core processor16 gb lpddr5 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home & student 20211 yr. onsite + 1 yr. accidental damage protection
